id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35642179,"Grant Plaza Hotel, Standard Double",265029065,Grant Plaza,,Financial District,37.79035,-122.40619,Hotel room,109,1,1239,2024-09-01,20.14,4,364,148,License not needed per OSTR
35642877,"Grant Plaza Hotel, Standard Twin",265029065,Grant Plaza,,Chinatown,37.79206,-122.40663,Hotel room,128,1,293,2024-09-02,4.78,4,361,92,License not needed per OSTR
35643330,"Grant Plaza Hotel, Deluxe Double-Double",265029065,Grant Plaza,,Financial District,37.79039,-122.40672,Hotel room,142,1,16,2024-03-02,0.29,4,351,1,License not needed per OSTR
35651959,#F15 Full private room in NobHill @ hacknsleep,267895362,Rocky,,Nob Hill,37.79172,-122.42083,Private room,50,365,1,2019-07-16,0.02,50,365,0,
35652385,#T15 Twin private room in NobHill @ hacknsleep,267895362,Rocky,,Nob Hill,37.79272,-122.41856,Private room,47,365,4,2021-11-05,0.07,50,364,0,
35655138,#F43: Private room in Lower Haight @hacknsleep,267895362,Rocky,,Western Addition,37.77086,-122.42535,Private room,50,365,2,2019-11-12,0.03,50,365,0,
35685982,#F15 Full private room in NobHill @ hacknsleep,267895362,Rocky,,Nob Hill,37.79195,-122.42152,Private room,50,365,0,,,50,365,0,
35773104,Private Cozy room 3,218088604,Jimmy,,Outer Sunset,37.75927,-122.50161,Private room,49,1,354,2024-08-16,5.58,4,343,57,STR-0003524
35773458,Private cozy room 1,218088604,Jimmy,,Outer Sunset,37.7595,-122.50003,Private room,49,1,428,2024-08-17,6.75,4,334,57,STR-0003524
35782434,"Queen Anne Hotel, Victorian King",267901434,Queen Anne Hotel,,Western Addition,37.78791,-122.42588,Private room,183,1,30,2024-05-19,0.58,10,220,3,Exempt
35782679,"Queen Anne Hotel, Victorian 2 Queens",267901434,Queen Anne Hotel,,Nob Hill,37.79193,-122.42185,Private room,,1,0,,,10,231,0,Exempt
35782746,"Queen Anne Hotel, Deluxe King",267901434,Queen Anne Hotel,,Nob Hill,37.79404,-122.42037,Private room,189,1,24,2023-08-20,0.47,10,231,0,Exempt
35782803,"Queen Anne Hotel, Deluxe King with Fireplace",267901434,Queen Anne Hotel,,Nob Hill,37.79388,-122.42237,Private room,,1,0,,,10,231,0,Exempt
35783085,"Queen Anne Hotel, Superior King",267901434,Queen Anne Hotel,,Nob Hill,37.79359,-122.42042,Private room,207,1,2,2022-07-27,0.05,10,233,0,Exempt
35783140,"Queen Anne Hotel, Superior Two Queens",267901434,Queen Anne Hotel,,Nob Hill,37.79375,-122.42046,Private room,261,1,2,2022-05-22,0.05,10,235,0,Exempt
35783466,"Queen Anne Hotel, Romantic Fireplace Canopy",267901434,Queen Anne Hotel,,Nob Hill,37.79235,-122.42243,Private room,222,1,1,2021-08-30,0.03,10,207,0,Exempt
35783618,"Queen Anne Hotel, Garden Suite with Fireplace",267901434,Queen Anne Hotel,,Nob Hill,37.79392,-122.42226,Private room,246,1,1,2024-02-15,0.15,10,227,1,Exempt
35783674,"Queen Anne Hotel, Executive Suite",267901434,Queen Anne Hotel,,Nob Hill,37.79225,-122.42206,Private room,227,1,6,2022-05-25,0.14,10,229,0,Exempt
35783730,"Queen Anne Hotel, Royal Family Suite",267901434,Queen Anne Hotel,,Nob Hill,37.79239,-122.42199,Private room,,1,1,2023-07-31,0.07,10,224,0,Exempt
35809668,Charming Private BR&BA 2 by GGP and Ocean Beach,172278627,Xinyu,,Outer Richmond,37.77262,-122.50855,Private room,68,1,238,2024-08-31,3.79,6,72,53,STR-0003740
35826414,"Blueground | Rincon Hill, gym, nr Silicon Valley",107434423,Blueground,,South of Market,37.787258,-122.392715,Entire home/apt,318,31,1,2019-09-11,0.02,173,68,0,
35831509,Terrific Union Square Hotel Style - Club Donatello,70722023,Michael,,Downtown/Civic Center,37.78677,-122.41101,Entire home/apt,99,1,33,2024-05-09,0.60,74,3,2,License not needed per OSTR
35831992,Terrific Union Square Hotel Style Suite -Location!,70722023,Michael,,Downtown/Civic Center,37.78898,-122.40968,Entire home/apt,99,2,5,2024-01-11,0.08,74,4,2,License not needed per OSTR
35835827,"Executive Hotel Vintage Court, Penthouse",268186698,Executive Hotel Vintage Court,,Financial District,37.79003,-122.40705,Private room,,1,0,,,4,0,0,Exempt
35836829,"Executive Hotel Vintage Court, Double Room",268186698,Executive Hotel Vintage Court,,Chinatown,37.79129,-122.40884,Private room,,1,0,,,4,0,0,Exempt
35837003,"Executive Hotel Vintage Court, Queen Room",268186698,Executive Hotel Vintage Court,,Chinatown,37.79092,-122.40696,Private room,,1,0,,,4,0,0,Exempt
35848747,Entire guest suite in Noe Valley,7521684,Daniela,,Noe Valley,37.74531,-122.43343,Entire home/apt,208,3,68,2024-07-01,1.07,1,92,18,STR-0003945
